English,Spanish
"Above all, he said, was the need to develop country studies as the bedrock for robust and implementable action on a country by country basis.
","Sobre todo, añadió, era necesario elaborar estudios de países para que sirvieran de sólido fundamento a unas medidas enérgicas y aplicables país por país.
"
"4. Mr. Trippier observed that, at its Fourth Meeting this week, the Executive Committee had worked out framework agreements with the three Implementing Agencies UNEP, UNDP and the World Bank and agreed work programmes enabling those Agencies to carry out co-ordinated and wideranging operations for the rest of present year.
","4. El Sr. Trippier señaló que en su Cuarta Reunión, celebrada esta semana, el Comité Ejecutivo había elaborado acuerdos marcos con los tres organismos de ejecución -el Programa de las Naciones Unidas para el Medio Ambiente (PNUMA), el Programa de las Naciones Unidas para el Desarrollo (PNUD) y el Banco Mundial- y acordó programas de trabajo que permitirían a esos organismos realizar actividades de amplio alcance y coordinadas durante el resto del presente año.
"
"Now the Committee would need to look forward beyond 1992 into the future.
","Ahora el Comité necesitaría mirar hacia el futuro, más allá del año 1992.
"
"Na.91-6017 /... 5. It was important right from the start to be clear about the difference between ""hard technology"", such as equipment and sophisticated operations and processes, and ""soft technology"", including publications, personnel exchanges, education and training.
","5. Convenía indicar desde el principio claramente la diferencia entre la ""tecnología dura"", el equipo y las operaciones y los procesos complicados, y la ""tecnología blanda (o no física)"", que incluía las publicaciones, los intercambios de personal, la formación y la capacitación.
"
"He was happy that the United Kingdom was playing an important role in the Technical and Economics Assessment Panel.
","Le complacía que el Reino Unido estuviera desempeñando un papel importante en el Grupo de evaluación técnica y económica.
"
"The strengthening of UNEP's Industry and Environment Office was another very welcome development.
","El fortalecimiento de la Oficina para la Industria y el Medio Ambiente del PNUMA era otro acontecimiento muy positivo.
"
"Although there were many sources of funding for technology transfer, particular emphasis had to be placed on the most costeffective and efficient measures available, appropriate to the particular country's agreed phaseout programme.
","Aunque existían numerosas fuentes de financiación para la transferencia de tecnologías, había que hacer particular hincapié en las medidas más eficaces y eficientes en función de los costos de que se disponía, que fueran idóneas para el programa de supresión gradual convenido del país de que se trate.
"
"6. Mr. Trippier emphasized the importance of Parties ratifying the London Amendment, so that it could enter into force as planned on 1 January 1992.
","6. El Sr. Trippier destacó la importancia de que las Partes ratificaran la Enmienda de Londres, con el fin de que pudiera entrar en vigor, como estaba previsto, el 1o. de enero de 1992.
"
"The next step was to make clear to the world the determination of the Parties to make noncompliance work and provide for an efficient implementation procedure.
","La etapa siguiente era indicar claramente al mundo la determinación de las Partes de que el dispositivo relativo al incumplimiento funcionara y proporcionar un procedimiento de aplicación eficiente.
"
"7. Further amendment of the Protocol was another very important issue, since new findings, for example satellite data, were becoming available all the time and it now appeared that ozone depletion over the globe as a whole was running at twice the anticipated level.
","7. La introducción de nuevas enmiendas en el Protocolo era otra cuestión muy importante, dado que estaban apareciendo constantemente nuevos resultados, por ejemplo los datos obtenidos por satélite, y en la actualidad parecía que el agotamiento del ozono en todo el globo se estaba produciendo a un ritmo doble al nivel previsto.
"
"The European Community had already agreed to phase out CFCs by 1997 and hoped that other countries would do the same.
","La Comunidad Europea ya había convenido en suprimir los CFC para 1997 y confiaba en que otros países hicieran lo mismo.
"
"The Protocol should be amended to reflect that situation.
","El Protocolo debía enmendarse para reflejar esa situación.
"
"But that was not enough.
","No obstante, eso no bastaba.
"
"The Technology and Economics Assessment Panel should be asked to assess the implications of phasing out halons, carbon tetrachloride and methyl chloroform also by 1997.
","Se debería pedir al Grupo de evaluación técnica y económica que evaluara las repercusiones de la supresión gradual de los halones, el tetracloruro de carbono y el metilcloroformo también para 1997.
"
"8. It would again be necessary to look more closely at transitional substances and confirm that the guidelines set in 1990 were in fact adequate, since mistakes could delay the planned phaseout of CFCs.
","8. Sería igualmente necesario examinar más detenidamente las sustancias de transición y confirmar que las directrices establecidas en 1990 eran, de hecho, adecuadas, puesto que los errores podrían retrasar la supresión gradual proyectada de los CFC.
"
"The strategy of limiting the overall supply of ozone depleting substances had been successful beyond expectations and had encouraged industry to find different ways of cleaning, of blowing foam and of preserving food.
","La estrategia de limitar el suministro global de las sustancias que agotan el ozono había tenido más éxito del previsto y había alentado a la industria a hallar diferentes maneras de limpiar, expeler espumas y preservar los alimentos.
"
"The same sort of mechanism should be applied to the transitional substances, since the markets and industrial structure were much the same and the environmental problem similar.
","El mismo tipo de mecanismo debía aplicarse a las sustancias de transición, dado que los mercados y el sector industrial eran muy parecidos y los problemas ambientales análogos.
"
"Since any phaseout date set in 1992 would be highly provisional and kept under constant review, it would be necessary to keep quantities down to acceptable levels right from the start.
","Como cualquier fecha de supresión gradual establecida en 1992 sería sumamente provisional y se debería mantener en constante examen, convendría reducir las cantidades a niveles aceptables desde el principio.
"
"9. What had impressed him above all in his office as President had been the strength of the Montreal Protocol as a dynamic, ever changing instrument.
","9. Lo que más le había impresionado en su actuación como Presidente había sido la fuerza del Protocolo de Montreal como un instrumento dinámico y constantemente cambiante.
"
"B. Election of the President, three VicePresidents
","B. Elección del Presidente, tres Vicepresidentes
"
"and the Rapporteur
","y el Relator
"
"10. In accordance with Rule 21, paragraph 1 of the Rules of Procedure, the President, three VicePresidents and the Rapporteur were elected unanimously, on the basis of regional groups, as specified in the resolution 2997 of the United Nations General Assembly at its 2112th meeting on 15 December 1972:
","10. De conformidad con el párrafo 1 del artículo 21 del reglamento, fueron elegidos por unanimidad el Presidente, tres Vicepresidentes y el Relator sobre la base de los grupos regionales, tal como se indica en la resolución 2997, aprobada por la Asamblea General de las Naciones Unidas en su 2112 sesión, celebrada el 15 de diciembre de 1972:
"
"President: Mr. Ojwang K'Ombudo (Kenya)
","Presidente: Sr. Ojwang K'Ombudo (Kenya)
"
"VicePresidents: Mr. Peter Chin Fah Kui (Malaysia)
","Vicepresidentes: Sr. Peter Chin Fah Kui (Malasia)
"
"Mr. Ryszard Purski (Poland)
","Sr. Ryszard Purski (Polonia)
"
"Mr. Eduardo Lopez (Venezuela)
","Sr. Eduardo López (Venezuela)
"
"Rapporteur: Mr. John A. Whitelaw (Australia)
","Relator: Sr. John A. Whitelaw (Australia)
"
"C. Statement by the President
","C. Declaración del Presidente
"
"11. The President welcomed all the participants to Kenya and expressed his gratitude for the honour bestowed upon him by his election.
","11. El Presidente dio la bienvenida a Kenya a todos los participantes y manifestó su gratitud por el honor que se le había concedido con su elección.
"
"The work of the bodies created to implement the Montreal Protocol had lived up to expectations.
","El trabajo realizado por los órganos creados para aplicar el Protocolo de Montreal había estado a la altura de las esperanzas.
"
"He also paid tribute to the work of the Executive Director of UNEP, the Secretariat for the Vienna Convention and its Montreal Protocol and the outgoing President, Mr. David Trippier, Minister of the Environment of the United Kingdom.
","Rindió asimismo homenaje a la labor del Director Ejecutivo del PNUMA, de la Secretaría del Convenio de Viena y su Protocolo de Montreal y del Presidente saliente, el Sr. David Trippier, Ministro de Medio Ambiente del Reino Unido.
"
"He hoped that the spirit of cooperation shown so far would continue to prevail as the work of the Parties was now at a crucial stage.
","Confiaba en que el espíritu de cooperación de que se había dado muestras hasta ahora se mantendría dado que la tarea de las Partes se encontraba ahora en una etapa crucial.
"
"The world community was eager for action on protection of the ozone layer, and he was sure that the Parties would not be found wanting in that respect.
","La comunidad mundial estaba ansiosa de que se adoptaran medidas para proteger la capa de ozono, y estaba seguro de que las Partes no quedarían a la zaga a este respecto.
"
"D. Statement by the Executive Director of UNEP
","D. Declaración del Director Ejecutivo del PNUMA
"
"12. In his statement, the Executive Director paid tribute to the effort of the outgoing President, his predecessor and the Bureau, which had left a lasting mark on international relations, and wished the new President and Bureau every success in their tasks ahead.
","12. En su declaración, el Director Ejecutivo encomió el esfuerzo del Presidente saliente, su predecesor y la Mesa, que habían dejado una marca indeleble en las relaciones internacionales, y deseó al nuevo Presidente y a la Mesa un gran éxito en las tareas que tenían por delante.
"
"The countries that had joined the Protocol since the London Meeting, including 13 developing countries, took the total of Contracting Parties to 71.
","Con los países que se habían adherido al Protocolo desde la Reunión de Londres, entre los que figuraban 13 países en desarrollo, el total de Partes Contratantes se había elevado a 71.
"
"The Interim Multilateral Fund had been established and had become operational on 1 January 1991 as decided by the Parties.
","Se había creado el Fondo Multilateral Provisional, que había entrado en funcionamiento el 1o. de enero de 1991, como lo habían decidido las Partes.
"
"The Chief Officer of the Fund had assumed his function in February and the Executive Committee had already worked hard to build a solid foundation for an unprecedented financial mechanism.
","El funcionario ejecutivo principal del Fondo había asumido sus funciones en febrero y el Comité Ejecutivo ya estaba trabajando activamente por establecer unos sólidos cimientos a este mecanismo financiero sin precedentes.
"
"The implementing agencies (UNDP, the World Bank and UNEP) had agreed co-ordinated programmes which had been examined by the Executive Committee over the past few days.
","Los organismos de ejecución (el Programa de las Naciones Unidas para el Desarrollo (PNUD), el Programa de las Naciones Unidas para el Medio Ambiente (PNUMA) y el Banco Mundial) habían acordado programas coordinados que había examinado el Comité Ejecutivo en los últimos días.
"
"He introduced the new Co-ordinator of the Secretariat for the Vienna Convention and its Montreal Protocol, Mr. Sarma.
","Presentó al nuevo coordinador de la Secretaría del Convenio de Viena y su Protocolo de Montreal, Sr. Sarma.
"
"13. The Executive Director stressed that statesmanship of a high order would be needed in the future, as recent research by NASA and the WMO Global Ozone Observing System has established that depletion of the ozone layer was accelerating at a higher level than predicted and was spreading to non-polar regions.
","13. El Director Ejecutivo hizo hincapié en que en el futuro se necesitaría una gran capacidad política, dado que las recientes investigaciones de la NASA y del Sistema Mundial de Observación del Ozono de la OMM habían probado que el agotamiento de la capa de ozono se estaba produciendo a un ritmo más acelerado del previsto y se estaba extendiendo a las regiones no polares.
"
"Even with an immediate phase-out of all CFCs and related components, ozone destruction would increase well into the next century.
","Incluso con una supresión inmediata de todos los CFC y componentes conexos, la destrucción del ozono aumentaría hasta bastante entrado el siglo próximo.
"
"14. Therefore the Executive Director stressed the importance of the London Amendment, which had been ratified so far by two Parties only.
","14. En consecuencia, el Director Ejecutivo destacó la importancia de la Enmienda de Londres que hasta el momento sólo habían ratificado dos Partes.
"
"He urged Governments to speed up the process of ratification to ensure entry into force of the Amendment by 1 January 1992, noting that the USSR had signalled its ratification and that Sweden had agreed on 4 June 1991 to ratify.
","Instó a los gobiernos a que aceleraran el proceso de ratificación para que la Enmienda entrara en vigor el 1o. de enero de 1992, señalando que la URSS había anunciado su ratificación y que Suecia había accedido a ratificarla el 4 de junio de 1991.
"
"Several other Governments were in the process of ratification and China had acceded to the Protocol as amended in London.
","Varios otros gobiernos estaban en el proceso de ratificación y China se había adherido al Protocolo en su forma enmendada en Londres.
"
"China would need technical and financial support to move to implementation of the Protocol.
","China necesitaría apoyo técnico y financiero para aplicar el Protocolo.
"
"15. The Executive Director also addressed the difficulties encountered by the Fund because of delayed contributions; US$12.7 million had been received so far.
","15. El Director Ejecutivo abordó también las dificultades con que tropezaba el Fondo debido al retraso en el pago de las contribuciones; hasta el momento únicamente se habían recibido 12,7 millones de dólares.
"
"He reminded the Parties that even if financial resources were available to developing countries, there was still the question of availability of technologies.
","Recordó a las Partes que, incluso si los países en desarrollo dispusieran de recursos financieros, quedaba pendiente la cuestión de la disponibilidad de tecnologías.
"
"Industry should be encouraged to make still further and faster progress in developing replacement chemicals and technologies so that all countries could be assisted to find solutions to their problems and those that had not yet done so could become Parties to the Montreal Protocol.
","Se debería inducir a la industria a que hiciera nuevos y más rápidos progresos en la creación de productos químicos y tecnologías de sustitución con el fin de que se pudiera ayudar a todos los países a hallar soluciones a sus problemas y a que los que todavía no lo eran pudieran pasar a ser Partes en el Protocolo de Montreal.
"
"One of the success stories in the struggle to protect the ozone layer concerned Mexico, which was phasing out CFCs aerosols faster than some developed nations.
","Uno de los ejemplos de éxito en la lucha por proteger la capa de ozono era el de México, que estaba suprimiendo gradualmente todos los aerosoles con CFC con más rapidez que algunas naciones desarrolladas.
"
"There was a need to replicate such successes.
","Era necesario imitar ese ejemplo positivo.
"
"16. Another pressing need addressed by the Executive Director was the monitoring of non-compliance and the reaction of the Parties to delayed reporting of data.
","16. Otra necesidad apremiante a que hizo referencia el Director Ejecutivo era la vigilancia del incumplimiento y la reacción de las Partes a la comunicación retrasada de datos.
"
"Guidance from the meeting would be helpful for the finalizing of the study of non-compliance procedures.
","Sería útil que la Reunión diera directrices para la terminación del estudio de los procedimientos relativos al incumplimiento.
"
"Other matters for the meeting to consider included the responsibilities of countries operating on the basis of Article 5 which exceeded a consumption level of 0.3 kg per capita per annum; the application by one country from the Western European and other group to be considered as a developing country for the purpose of the protocol; and a number of trade issues.
","Entre otras cuestiones que era conveniente considerara la Reunión, figuraban las responsabilidades de los países que operaban al amparo del artículo 5 y cuyo consumo superaba el nivel anual de 0,3 kilos por persona; la solicitud de un país de Europa occidental y de otro grupo a ser considerado como un país en desarrollo a los efectos del Protocolo, y varias cuestiones comerciales.
"
"17. Extraordinary progress had been made under the Montreal Protocol thanks to public opinion, a real spirit of partnership established between the Parties, and the work of the Assessment Panels.
","17. Se habían conseguido progresos extraordinarios en el marco del Protocolo de Montreal gracias a la opinión pública, a un auténtico espíritu de asociación establecido por las Partes y a la labor de los grupos de evaluación.
"
"The second report from the Assessment Panels, to be completed before the end of 1991, together with other issues, might signal the need for the further amendment of the Protocol.
","El segundo informe de los grupos de evaluación, que quedaría completado antes de finales de 1991, junto con otras cuestiones, podría indicar la necesidad de introducir otras enmiendas en el Protocolo.
"
"18. Finally, the Executive Director recommended that the next Meeting be held in September 1992, to allow the Open-Ended Working Group of the Parties to consider any adjustments and amendments necessitated by the report of the second assessment.
","18. Por último, el Director Ejecutivo recomendó que la próxima Reunión se celebrara en septiembre de 1992, para que el Grupo de Trabajo de las Partes de composición abierta pudiera examinar cualesquiera ajustes y enmiendas que fueran necesarios según el informe de la segunda evaluación.
"
"He expressed his conviction that although there were still many difficulties to be overcome, the spirit of co-operation and the progress achieved so far were such that the damage done to the planet could be corrected.
","Manifestó su convicción de que, aun cuando quedaban muchas dificultades por superar, el espíritu de cooperación técnica y los progresos conseguidos hasta ahora serían tales que permitirían enmendar los daños causados al planeta.
"
"II. ORGANIZATIONAL MATTERS
","II. CUESTIONES DE ORGANIZACION
"
"A. Attendance
","A. Asistencia a la reunión
"
"19. The following 46 Parties to the Montreal Protocol were represented:
","19. Estuvieron representadas en la reunión las 46 Partes en el Protocolo de Montreal siguientes:
"
"Argentina, Australia, Austria, Belgium, Brazil, Burkina Faso, Byelorussian SSR, Cameroon, Canada, Chile, Denmark, Egypt, Finland, France, Germany, Ghana, Greece, Hungary, Italy, Japan, Jordan, Kenya, Malaysia, Maldives, Mexico, The Netherlands, New Zealand, Nigeria, Norway, Poland, South Africa, Spain, Sri Lanka, Sweden, Switzerland, Thailand, Tunisia, Uganda, Ukrainian SSR, United Kingdom, USA, USSR, Venezuela, Yugoslavia, Zambia and EEC.
","Alemania, Argentina, Australia, Austria, Bélgica, Brasil, Burkina Faso, Camerún, Canadá, Chile, Dinamarca, Egipto, España, Estados Unidos de América, Finlandia, Francia, Ghana, Grecia, Hungría, Italia, Japón, Jordania, Kenya, Malasia, Maldivas, México, Nigeria, Noruega, Nueva Zelandia, Países Bajos, Polonia, Reino Unido, RSS de Bielorrusia, RSS de Ucrania, Sri Lanka, Sudáfrica, Suecia, Suiza, Tailandia, Túnez, Uganda, URSS, Venezuela, Yugoslavia, Zambia y CEE.
"
"The following 23 States not party to the Protocol were also represented:
","Estuvieron también representados los siguientes 23 Estados no Partes en el Protocolo:
"
"Algeria, Angola, Bhutan, Burundi, China, Colombia, Congo, Costa Rica, Equatorial Guinea, Guinea, India, Indonesia, Republic of Korea, Morocco, Niger, Philippines, Peru, Sao Tome & Principe, Sudan, United Republic of Tanzania, Turkey, Yemen and Zimbabwe.
","Angola, Argelia, Bhután, Burundi, Colombia, Congo, Costa Rica, China, Filipinas, Guinea, Guinea Ecuatorial, India, Indonesia, Marruecos, Níger, Perú, República de Corea, República Unida de Tanzanía, Santo Tomé y Príncipe, Sudán, Turquía, Yemen y Zimbabwe.
"
"Observers from the following United Nations bodies and specialized agencies were also present:
","Estuvieron igualmente presentes observadores de los órganos y organismos especializados de las Naciones Unidas siguientes:
"
"GATT Secretariat, I.C.A.O., IMO, UNCED, UNCHS (Habitat), UNDP, WMO, World Bank.
","La secretaría del GATT, la Organización de Aviación Civil Internacional (OACI), la Organización Marítima Internacional (OMI), la Conferencia de las Naciones Unidas sobre el Medio Ambiente y el Desarrollo (CNUMAD), el Centro de las Naciones Unidas para los Asentamientos Humanos (Hábitat) (CNUAH), el Programa de las Naciones Unidas para el Desarrollo (PNUD), la Organización Metereológica Mundial (OMM) y el Banco Mundial.
"
"The following other organizations were represented:
","Estuvieron representadas además las organizaciones siguientes:
"
"Alliance for Responsible CFC Policy, ARI (Air Conditioning and Refrigeration Institute), CEFIC, Friends of the Earth, Greenpeace International, Halogenated Solvents Industry Association (HSIA), Harvard Global Environmental Policy Project, ICC, Industrial Technology Research Institute (ITRI), International Council on Environmental Law, Japan Industrial Conference for Ozone Protection (JICOP), Kenya Consumers Organization (KCO), Pharmaceutical Aerosol CFC Coalition (PACC), Pro Scientia, Ulsan Chemical Company Ltd.
","Air conditioning and Refrigeraton Institute (ARI), Alliance for Responsible CFC Policy, Cámara de Comercio Internacional (CCI), Consejo Europeo de Federaciones de la Industria Química (CEFIQ), Consejo Internacional de Derecho Ambiental, Friends of the Earth, Greenpeace International, Halogenated Solvents Industry (HSIA), Harvard Global Environmental Policy Project, Industrial Technology Research Institute (ITRI), Japan Industrial Conference for Ozone Protection (JICOP), Kenya Consumers Organization (KCO), Pharmaceutical Aerosol CFC Coalition (PACC) y Pro Scientia, Ulsan Chemical Company Ltd.
"
"B. Adoption of the agenda
","B. Aprobación del programa
"
"20. The following agenda, as contained in document UNEP/OzL.Pro.3/1/Rev.1, was adopted:
","20. Se aprobó el programa indicado a continuación, tal como figura en el documento UNEP/OzL.Pro.3/1/Rev.1:
"
"1. Opening of the Meeting:
","1. Apertura de la Reunión:
"
"(a) Opening remarks by the outgoing President;
","a) Discurso inaugural del Presidente saliente;
"
"(b) Election of the President, VicePresidents and the Rapporteur;
","b) Elección del Presidente, los Vicepresidentes y el Relator;
"
"(c) Statement by the President;
","c) Declaración del Presidente;
"
"(d) Statement by the Executive Director of UNEP.
","d) Declaración del Director Ejecutivo del PNUMA.
"
"2. Organizational matters:
","2. Cuestiones de organización:
"
"(a) Adoption of the agenda;
","a) Aprobación del programa;
"
"(b) Organization of work.
","b) Organización de los trabajos.
"
"3. Credentials of the representatives.
","3. Credenciales de los representantes.
"
"4. Proposed amendments to the Rules of Procedure.
","4. Enmiendas propuestas al reglamento.
"
"5. Consideration of the report of the Executive Director of UNEP to the Third Meeting of the Parties to the Montreal Protocol:
","5. Examen del informe del Director Ejecutivo del PNUMA a la Tercera Reunión de las Partes en el Protocolo de Montreal:
"
"(a) Implementation of the decisions of the Second Meeting of the Parties to the Montreal Protocol (London, 2729 June 1990):
","a) Aplicación de las decisiones de la Segunda Reunión de las Partes en el Protocolo de Montreal (Londres, 27 a 29 de junio de 1990):
"
"Adjustment and reduction;
","- Ajustes y reducciones;
"
"Amendment;
","- Enmienda;
"
"Noncompliance;
","- Incumplimiento;
"
"Reporting of data;
","- Presentación de datos;
"
"Destruction technologies;
","- Tecnologías de destrucción;
"
"The second assessment process;
","- Segundo proceso de evaluación;
"
"Data from developing countries;
","- Datos de los países en desarrollo;
"
"Control of trade with nonParties;
","- Control del comercio con Estados que no sean Partes;
"
"Interim Multilateral Fund;
","- Fondo Multilateral Provisional;
"
"(b) Status of the Interim Multilateral Fund.
","b) Situación del Fondo Multilateral Provisional.
"
"6. Consideration of the report of the Executive Committee on the progress made with regard to the establishment and operation of the Interim Multilateral Fund:
","6. Examen del informe del Comité Ejecutivo sobre los progresos realizados por lo que respecta al establecimiento y funcionamiento del Fondo Multilateral Provisional para el Ozono:
"
"(a) Revised 1991 budget for the Fund Secretariat;
","a) Presupuesto revisado de la Secretaría del Fondo correspondiente a 1991;
"
"(b) The threeyear programme budget for the Fund;
","b) Presupuesto trienal por programas del Fondo;
"
"(c) Criteria for project eligibility and guidelines for the implementation of activities supported by the Fund;
","c) Criterios para la selección de proyectos y directrices para la ejecución de las actividades apoyadas por el Fondo;
"
"(d) Criteria for considering bilateral and, in particular cases, regional cooperation as a contribution to the Fund;
","d) Criterios para considerar contribución al Fondo la cooperación bilateral y, en determinados casos, regional;
"
"(e) Operational policies, guidelines and administrative arrangements;
","e) Políticas operacionales, directrices y arreglos administrativos;
"
"(f) Rules of procedure for the Executive Committee;
","f) Reglamento del Comité Ejecutivo;
"
"(g) Tripartite agreement among the World Bank, UNDP and UNEP;
","g) Acuerdo tripartito entre el Banco Mundial, el PNUD y el PNUMA;
"
"(h) Specific agreements between the Executive Committee and the implementing agencies.
","h) Acuerdos específicos entre el Comité Ejecutivo y los organismos de ejecución.
"
"7. Proposed annex to the Montreal Protocol: List of products containing the controlled substances.
","7. Proyecto de anexo del Protocolo de Montreal: Lista de productos que contienen sustancias controladas.
"
"8. Information reported by the Parties in accordance with Articles 7 and 9 of the Montreal Protocol: Secretariat's reports pursuant to Article 12 (c).
","8. Información presentada por las Partes de conformidad con los artículos 7 y 9 del Protocolo de Montreal: Informes presentados por la Secretaría de conformidad con el artículo 12 c) del Protocolo.
"
"9. Revised budget for the Trust Fund for the Montreal Protocol for 1991 and the proposed budget for the biennium 19921993, including the cost of the participation of developing countries.
","9. Presupuesto revisado del Fondo Fiduciario para el Protocolo de Montreal correspondiente a 1991 y proyecto de presupuesto para el bienio 1992-1993, con inclusión del costo de la participación de los países en desarrollo.
"
"10. Accession by Turkey to the Montreal Protocol.
","10. Adhesión de Turquía al Protocolo de Montreal.
"
"11. Date and venue for the Fourth Meeting of the Parties.
","11. Fecha y lugar de celebración de la Cuarta Reunión de las Partes.
"
"12. Other matters.
","12. Otros asuntos.
"
"13. Adoption of the report.
","13. Aprobación del informe.
"
"14. Closure of the Meeting.
","14. Clausura de la Reunión.
"
"C. Organization of work
","C. Organización de los trabajos
"
"21. The Meeting took up the agenda item by item.
","21. La Reunión examinó el programa tema por tema.
"
"III. CREDENTIALS
","III. CREDENCIALES
"
"22. In accordance with rule 19 of the Rules of Procedure, the officers of the Meeting examined the credentials of representatives and, having found them to be in good and due form, so reported to the Meeting.
","22. De conformidad con el artículo 19 del reglamento, la Mesa de la Reunión examinó las credenciales de los representantes y, habiéndolas encontrado en buena y debida forma, se lo comunicó así a la Reunión.
"
"IV. SUBSTANTIVE MATTERS
","IV. CUESTIONES SUSTANTIVAS
"
"23. The Preparatory Meeting had proposed that Rules 23 and 24 of the Rules of Procedure of the Meetings of the Parties to the Montreal Protocol be amended to read as follows:
","23. La Reunión Preparatoria propuso que los artículos 23 y 24 del reglamento de las reuniones de las Partes en el Protocolo de Montreal quedaran enmendadas como sigue:
"
"Rule 23
","Artículo 23
"
"If the President is temporarily absent from a session or any part thereof, he shall designate a VicePresident to act as President.
","Cuando el Presidente se ausente temporalmente de una sesión o parte de ella, designará a uno de los Vicepresidentes para que actúe como Presidente.
"
"Rule 24
","Artículo 24
"
"If an officer resigns or is otherwise unable to complete his term of office or to perform his functions, a representative of the same Party shall be named by the Party concerned to replace him for the remainder of his mandate.
","Si un miembro de la Mesa renuncia a su cargo o no puede ejercerlo durante el tiempo previsto o se halla en la imposibilidad de ejercer sus funciones, la Parte interesada designará a un representante de su misma delegación para que lo sustituya durante el resto de su mandato.
"
"The proposed amendments were adopted without objection.
","Las enmiendas propuestas fueron aprobadas sin objeciones.
"
"24. The delegate of China said that the gradual reduction in the volume of ozone depleting substances was a vital element in the protection of the environment.
","24. El delegado de China dijo que la reducción gradual del volumen de las sustancias que agotan el ozono era un elemento vital para la protección del medio ambiente.
"
"Only combined efforts of Contracting Parties and developing countries at the Second Meeting of the Parties, in which China had played an active part, had enabled the Amendment to the Protocol to be adopted, thus tightening up control measures and providing financial support for activities of developing countries in the cause of environmental protection.
","Sólo gracias a la labor combinada de las Partes Contratantes y de los países en desarrollo en la Segunda Reunión de las Partes, en la que China había desempeñado un activo papel, pudo aprobarse la Enmienda del Protocolo, dándose así un carácter más estricto a las medidas de control y prestándose apoyo financiero a las actividades de los países en desarrollo en la lucha por la protección ambiental.
"
"Against that background the delegation had expressed at the Second Meeting the clear intention of his country to accede to the Amended Protocol.
","En este contexto, su delegación había manifestado en la Segunda Reunión la firme intención de su país de adherirse al Protocolo.
"
"In the meantime the necessary technical structures had been set up and the legal formalities for accession completed.
","Entretanto, se han establecido las estructuras técnicas necesarias y se han completado las formalidades jurídicas para la adhesión.
"
"The Instrument of Accession had been deposited with the United Nations as Depositary on 14 June 1991.
","El instrumento de adhesión se depositó el 14 de junio de 1991 ante las Naciones Unidas en su calidad de Depositario.
"
"A year ago, with the help of an Expert Working Group from UNDP, China had completed a study on the phaseout of controlled substances and formulated a threeyear plan for the first phase of implementation of the phaseout.
","Hace un año, con la ayuda de un Grupo de Expertos del PNUMA, China terminó un estudio sobre la eliminación gradual de las sustancias controladas y formuló un plan trienal para su primera fase de aplicación.
"
